TeamName,Odds,Continent,Country,Wins,Time,Opponentwin,Opponenttime,Result
Internazionale Milano,1.31,Europe,Italy,10,112,4,113,Win
Torino FC,2.3,Europe,Italy,5,114,5,127,Win
Leeds United FC,1.29,Europe,England,11,101,7,133,Win
Real Sociedad de Futbol,2.43,Europe,Spain,11,111,9,130,Draw
Real Madrid CF,1.45,Europe,Spain,15,118,11,97,Win
Real Betis Balompie,2.34,Europe,Spain,5,113,4,99,Lose
RCD Mallorca ,2.09,Europe,Spain,6,104,9,87,Lose
Real Club Celta De Vigo,1.62,Europe,Spain,5,97,4,111,Lose
FC Barcelona,1.18,Europe,Spain,12,121,9,100,Lose
Jubilo Iwata,2.2,Asia,Japan,7,50,6,38,Lose
Tokushima Vortis,1.67,Asia,Japan,12,45,6,71,Win
Sheffield Wednesday FC,2.55,Europe,England,6,153,6,112,Draw
Millwall FC,2.3,Europe,England,7,135,6,155,Win
Luton Town FC,2.4,Europe,England,8,135,7,135,Draw
Cardiff City FC,2.37,Europe,England,8,131,9,136,Win
Wigan Athletic FC,1.87,Europe,England,10,88,2,116,Win
Middlesbrough FC,2.39,Europe,England,4,144,5,149,Win
West Bromwich Albion FC,2.11,Europe,England,10,142,11,141,Draw
Liverpool FC,1.89,Europe,England,12,128,11,134,Lose
Tottenham Hotspur FC,1.81,Europe,England,8,138,7,128,Win
Manchester City FC,1.16,Europe,England,15,140,4,121,Win
Wolverhampton Wanderers FC,1.92,Europe,England,8,143,10,138,Draw
Montedio Yamagata,1.58,Asia,Japan,9,136,10,25,Lose
V-Varen Nagasaki,1.98,Asia,Japan,11,35,6,17,Draw
